,Borrower Company,Claim ATE Reference,Solicitor Reference,Status
,FDM Solicitors,FDM001\P23070100,NBC200993.001,Complete
,FDM Solicitors,FDM001\P23070095,NBC141843.001,Complete
,FDM Solicitors,FDM001\P23070048,NBC201467.001,Complete
,FDM Solicitors,FDM001\P23070033,NBC201028.001,Complete
,FDM Solicitors,FDM001\P23070034,NBC201442.001,Complete
,FDM Solicitors,FDM001\P23070059,NBC201139.001,Complete
,FDM Solicitors,FDM001\P23070049,NBC143189.001,Complete
,FDM Solicitors,FDM001\P23070035,NBC143169.001,Complete
,FDM Solicitors,FDM001\P23070038,NBC143019.001,Complete
,FDM Solicitors,FDM001\P23070018,NBC201368.001,Complete
,FDM Solicitors,FDM001\P23070084,NBC201384.001,Complete
,FDM Solicitors,FDM001\P23070070,NBC201397.001,Complete
,FDM Solicitors,FDM001\P23070057,NBC201212.001,Complete
,FDM Solicitors,FDM001\P23070047,NBC201185.001,Complete
,FDM Solicitors,FDM001\P23070003,NBC142801.001,Complete
,FDM Solicitors,FDM001\P23070071,NBC201389.001,Complete
,FDM Solicitors,FDM001\P23070053,NBC201211.001,Complete
,FDM Solicitors,FDM001\P23070056,NBC201275.001,Complete
,FDM Solicitors,FDM001\P23070029,NBC201021.001,Complete
,FDM Solicitors,FDM001\P23070087,NBC142212.001,Complete
,FDM Solicitors,FDM001\P23070024,NBC201075.001,Complete
,FDM Solicitors,FDM001\P23070011,NBC201370.001,Complete
,FDM Solicitors,FDM001\P23070031,NBC200967.001,Complete
,FDM Solicitors,FDM001\P23070083,NBC201403.001,Complete
,FDM Solicitors,FDM001\P23070061,NBC201342.001,Complete
,FDM Solicitors,FDM001\P23070098,NBC142624.001,Complete
,FDM Solicitors,FDM001\P23070074,NBC201369.001,Complete
,FDM Solicitors,FDM001\P23070014,NBC201056.001,Complete
,FDM Solicitors,FDM001\P23070067,NBC201358.001,Complete
,FDM Solicitors,FDM001\P23070077,NBC201378.001,Complete
,FDM Solicitors,FDM001\P23070012,NBC143190.001,Complete
,FDM Solicitors,FDM001\P23070080,NBC140794.001,Complete
,FDM Solicitors,FDM001\P23070044,NBC201452.001,Complete
,FDM Solicitors,FDM001\P23070015,NBC143145.001,Complete
,FDM Solicitors,FDM001\P23070006,NBC201069.001,Complete
,FDM Solicitors,FDM001\P23070025,NBC201060.001,Complete
,FDM Solicitors,FDM001\P23070036,NBC201333.001,Complete
,FDM Solicitors,FDM001\P23070081,NBC142740.001,Complete
,FDM Solicitors,FDM001\P23070091,NBC143218.001,Complete
,FDM Solicitors,FDM001\P23070013,NBC200978.001,Complete
,FDM Solicitors,FDM001\P23070039,NBC201169.001,Complete
,FDM Solicitors,FDM001\P23070026,NBC201434.001,Complete
,FDM Solicitors,FDM001\P23070019,NBC201012.001,Complete
,FDM Solicitors,FDM001\P23070043,NBC200903.001,Complete
,FDM Solicitors,FDM001\P23070085,NBC142982.001,Complete
,FDM Solicitors,FDM001\P23070054,NBC143088.001,Complete
,FDM Solicitors,FDM001\P23070050,NBC200952.001,Complete
,FDM Solicitors,FDM001\P23070075,NBC140485.001,Complete
,FDM Solicitors,FDM001\P23070078,NBC140601.001,Complete
,FDM Solicitors,FDM001\P23070102,NBC141540.001,Complete
,FDM Solicitors,FDM001\P23070090,NBC142488.001,Complete
,FDM Solicitors,FDM001\P23070021,NBC142556.001,Complete
,FDM Solicitors,FDM001\P23080022,NBC142635.001,Complete
,FDM Solicitors,FDM001\P23070099,NBC142640.001,Complete
,FDM Solicitors,FDM001\P23080006,NBC142707.001,Complete
,FDM Solicitors,FDM001\P23070088,NBC142780.001,Complete
,FDM Solicitors,FDM001\P23070082,NBC142804.001,Complete
,FDM Solicitors,FDM001\P23080010,NBC142812.001,Complete
,FDM Solicitors,FDM001\P23080008,NBC142834.001,Complete
,FDM Solicitors,FDM001\P23070010,NBC142864.001,Complete
,FDM Solicitors,FDM001\P23080007,NBC142875.001,Complete
,FDM Solicitors,FDM001\P23070092,NBC142912.001,Complete
,FDM Solicitors,FDM001\P23070086,NBC142918.001,Complete
,FDM Solicitors,FDM001\P23070079,NBC142959.001,Complete
,FDM Solicitors,FDM001\P23080019,NBC142970.001,Complete
,FDM Solicitors,FDM001\P23070046,NBC143056.001,Complete
,FDM Solicitors,FDM001\P23070045,NBC143101.001,Complete
,FDM Solicitors,FDM001\P23070109,NBC143115.001,Complete
,FDM Solicitors,FDM001\P23070063,NBC143139.001,Complete
,FDM Solicitors,FDM001\P23070073,NBC143142.001,Complete
,FDM Solicitors,FDM001\P23070094,NBC143143.001,Complete
,FDM Solicitors,FDM001\P23070020,NBC143165.001,Complete
,FDM Solicitors,FDM001\P23070042,NBC143175.001,Complete
,FDM Solicitors,FDM001\P23070017,NBC143205.001,Complete
,FDM Solicitors,FDM001\P23070119,NBC143257.001,Complete
,FDM Solicitors,FDM001\P23080024,NBC143259.001,Complete
,FDM Solicitors,FDM001\P23080020,NBC143262.001,Complete
,FDM Solicitors,FDM001\P23070004,NBC143267.001,Complete
,FDM Solicitors,FDM001\P23080014,NBC143269.001,Complete
,FDM Solicitors,FDM001\P23080018,NBC143270.001,Complete
,FDM Solicitors,FDM001\P23070093,NBC200799.001,Complete
,FDM Solicitors,FDM001\P23070097,NBC200826.001,Complete
,FDM Solicitors,FDM001\P23080005,NBC200869.001,Complete
,FDM Solicitors,FDM001\P23080016,NBC200889.001,Complete
,FDM Solicitors,FDM001\P23080013,NBC200901.001,Complete
,FDM Solicitors,FDM001\P23070022,NBC200917.001,Complete
,FDM Solicitors,FDM001\P23070106,NBC200953.001,Complete
,FDM Solicitors,FDM001\P23070028,NBC200965.001,Complete
,FDM Solicitors,FDM001\P23070096,NBC200989.001,Complete
,FDM Solicitors,FDM001\P23070107,NBC201033.001,Complete
,FDM Solicitors,FDM001\P23070041,NBC201044.001,Complete
,FDM Solicitors,FDM001\P23070076,NBC201049.001,Complete
,FDM Solicitors,FDM001\P23070008,NBC201054.001,Complete
,FDM Solicitors,FDM001\P23070016,NBC201074.001,Complete
,FDM Solicitors,FDM001\P23070002,NBC201077.001,Complete
,FDM Solicitors,FDM001\P23080001,NBC201100.001,Complete
,FDM Solicitors,FDM001\P23070069,NBC201102.001,Complete
,FDM Solicitors,FDM001\P23070032,NBC201137.001,Complete
,FDM Solicitors,FDM001\P23070052,NBC201141.001,Complete
,FDM Solicitors,FDM001\P23070103,NBC201170.001,Complete
,FDM Solicitors,FDM001\P23070060,NBC201176.001,Complete
,FDM Solicitors,FDM001\P23070105,NBC201177.001,Complete
,FDM Solicitors,FDM001\P23070062,NBC201223.001,Complete
,FDM Solicitors,FDM001\P23070064,NBC201237.001,Complete
,FDM Solicitors,FDM001\P23070101,NBC201272.001,Complete
,FDM Solicitors,FDM001\P23070051,NBC201274.001,Complete
,FDM Solicitors,FDM001\P23070027,NBC201280.001,Complete
,FDM Solicitors,FDM001\P23070113,NBC201285.001,Complete
,FDM Solicitors,FDM001\P23070110,NBC201294.001,Complete
,FDM Solicitors,FDM001\P23070058,NBC201312.001,Complete
,FDM Solicitors,FDM001\P23070065,NBC201356.001,Complete
,FDM Solicitors,FDM001\P23070072,NBC201364.001,Complete
,FDM Solicitors,FDM001\P23070108,NBC201374.001,Complete
,FDM Solicitors,FDM001\P23070055,NBC201379.001,Complete
,FDM Solicitors,FDM001\P23070005,NBC201381.001,Complete
,FDM Solicitors,FDM001\P23070040,NBC201390.001,Complete
,FDM Solicitors,FDM001\P23070112,NBC201391.001,Complete
,FDM Solicitors,FDM001\P23080009,NBC201394.001,Complete
,FDM Solicitors,FDM001\P23070066,NBC201396.001,Complete
,FDM Solicitors,FDM001\P23080011,NBC201411.001,Complete
,FDM Solicitors,FDM001\P23080017,NBC201413.001,Complete
,FDM Solicitors,FDM001\P23080012,NBC201415.001,Complete
,FDM Solicitors,FDM001\P23080015,NBC201422.001,Complete
,FDM Solicitors,FDM001\P23070007,NBC201423.001,Complete
,FDM Solicitors,FDM001\P23070009,NBC201424.001,Complete
,FDM Solicitors,FDM001\P23080021,NBC201431.001,Complete
,FDM Solicitors,FDM001\P23070030,NBC201441.001,Complete
,FDM Solicitors,FDM001\P23080004,NBC201457.001,Complete
,FDM Solicitors,FDM001\P23070111,NBC201460.001,Complete
,FDM Solicitors,FDM001\P23070114,NBC201461.001,Complete
,FDM Solicitors,FDM001\P23070037,NBC201464.001,Complete
,FDM Solicitors,FDM001\P23070116,NBC201485.001,Complete
,FDM Solicitors,FDM001\P23080068,NBC140645.001,Complete
,FDM Solicitors,FDM001\P23080026,NBC142308.001,Complete
,FDM Solicitors,FDM001\P23080025,NBC142662.001,Complete
,FDM Solicitors,FDM001\P23080059,NBC142939.001,Complete
,FDM Solicitors,FDM001\P23080051,NBC143213.001,Complete
,FDM Solicitors,FDM001\P23080039,NBC143263.001,Complete
,FDM Solicitors,FDM001\P23080050,NBC143283.001,Complete
,FDM Solicitors,FDM001\P23080045,NBC143287.001,Complete
,FDM Solicitors,FDM001\P23080058,NBC143289.001,Complete
,FDM Solicitors,FDM001\P23080063,NBC143296.001,Complete
,FDM Solicitors,FDM001\P23080033,NBC201111.001,Complete
,FDM Solicitors,FDM001\P23080028,NBC201385.001,Complete
,FDM Solicitors,FDM001\P23080067,NBC201412.001,Complete
,FDM Solicitors,FDM001\P23080047,NBC201468.001,Complete
,FDM Solicitors,FDM001\P23080046,NBC201482.001,Complete
,FDM Solicitors,FDM001\P23070117,NBC201488.001,Complete
,FDM Solicitors,FDM001\P23080048,NBC201493.001,Complete
,FDM Solicitors,FDM001\P23080002,NBC201502.001,Complete
,FDM Solicitors,FDM001\P23080003,NBC201508.001,Complete
,FDM Solicitors,FDM001\P23070115,NBC201514.001,Complete
,FDM Solicitors,FDM001\P23070118,NBC201516.001,Complete
,FDM Solicitors,FDM001\P23080032,NBC201518.001,Complete
,FDM Solicitors,FDM001\P23080023,NBC201523.001,Complete
,FDM Solicitors,FDM001\P23080031,NBC201529.001,Complete
,FDM Solicitors,FDM001\P23080037,NBC201530.001,Complete
,FDM Solicitors,FDM001\P23080043,NBC201531.001,Complete
,FDM Solicitors,FDM001\P23080030,NBC201534.001,Complete
,FDM Solicitors,FDM001\P23080040,NBC201537.001,Complete
,FDM Solicitors,FDM001\P23080056,NBC201538.001,Complete
,FDM Solicitors,FDM001\P23080029,NBC201539.001,Complete
,FDM Solicitors,FDM001\P23080044,NBC201540.001,Complete
,FDM Solicitors,FDM001\P23080038,NBC201543.001,Complete
,FDM Solicitors,FDM001\P23080035,NBC201546.001,Complete
,FDM Solicitors,FDM001\P23080036,NBC201548.001,Complete
,FDM Solicitors,FDM001\P23080049,NBC201552.001,Complete
,FDM Solicitors,FDM001\P23080041,NBC201555.001,Complete
,FDM Solicitors,FDM001\P23080052,NBC201556.001,Complete
,FDM Solicitors,FDM001\P23080054,NBC201559.001,Complete
,FDM Solicitors,FDM001\P23080053,NBC201576.001,Complete
,FDM Solicitors,FDM001\P23080062,NBC201578.001,Complete
,FDM Solicitors,FDM001\P23080057,NBC201579.001,Complete
,FDM Solicitors,FDM001\P23080064,NBC201580.001,Complete
,FDM Solicitors,FDM001\P23080060,NBC201581.001,Complete
,FDM Solicitors,FDM001\P23080065,NBC201590.001,Complete
,FDM Solicitors,FDM001\P23080061,NBC201592.001,Complete
,FDM Solicitors,FDM001\P23080107,NBC140832.001,Complete
,FDM Solicitors,FDM001\P23080106,NBC143012.001,Complete
,FDM Solicitors,FDM001\P23080110,NBC200867.001,Complete
,FDM Solicitors,FDM001/P23080120,NBC140069.001,Complete
,FDM Solicitors,FDM001\P23080115,NBC140076.001,Complete
,FDM Solicitors,FDM001\P23080121,NBC140082.001,Complete
,FDM Solicitors,FDM001\P23080105,NBC140124.001,Complete
,FDM Solicitors,FDM001\P23080066,NBC140420.001,Complete
,FDM Solicitors,FDM001\P23080118,NBC140561.001,Complete
,FDM Solicitors,FDM001\P23080089,NBC140782.001,Complete
,FDM Solicitors,FDM001\P23080113,NBC140934.001,Complete
,FDM Solicitors,FDM001/P23080082,NBC140937.001,Complete
,FDM Solicitors,FDM001\P23080079,NBC141140.001,Complete
,FDM Solicitors,FDM001\P23080085,NBC141368.001,Complete
,FDM Solicitors,FDM001\P23080091,NBC141539.001,Complete
,FDM Solicitors,FDM001/P23080077,NBC141587.001,Complete
,FDM Solicitors,FDM001\P23080094,NBC141621.001,Complete
,FDM Solicitors,FDM001\P23080111,NBC141623.001,Complete
,FDM Solicitors,FDM001\P23080088,NBC141633.001,Complete
,FDM Solicitors,FDM001\P23080081,NBC141682.001,Complete
,FDM Solicitors,FDM001\P23080126,NBC141704.001,Active
,FDM Solicitors,FDM001\P23080127,NBC141708.001,Complete
,FDM Solicitors,FDM001\P23080097,NBC141733.001,Complete
,FDM Solicitors,FDM001/P23080087,NBC141896.001,Complete
,FDM Solicitors,FDM001\P23080084,NBC142069.001,Complete
,FDM Solicitors,FDM001\P23080072,NBC142154.001,Complete
,FDM Solicitors,FDM001\P23080090,NBC142493.001,Complete
,FDM Solicitors,FDM001/P23080124,NBC142531.001,Complete
,FDM Solicitors,FDM001\P23080098,NBC142532.001,Complete
,FDM Solicitors,FDM001\P23080109,NBC142562.001,Complete
,FDM Solicitors,FDM001\P23080108,NBC142602.001,Complete
,FDM Solicitors,FDM001\P23080112,NBC142655.001,Complete
,FDM Solicitors,FDM001\P23080078,NBC142668.001,Complete
,FDM Solicitors,FDM001/P23080116,NBC142711.001,Complete
,FDM Solicitors,FDM001\P23080069,NBC142755.001,Complete
,FDM Solicitors,FDM001\P23080117,NBC142900.001,Complete
,FDM Solicitors,FDM001\P23080070,NBC142956.001,Complete
,FDM Solicitors,FDM001/P23080073,NBC143114.001,Complete
,FDM Solicitors,FDM001\P23080125,NBC143128.001,Complete
,FDM Solicitors,FDM001\P23080095,NBC143177.001,Complete
,FDM Solicitors,FDM001\P23080075,NBC200509.001,Complete
,FDM Solicitors,FDM001\P23080083,NBC200556.001,Complete
,FDM Solicitors,FDM001\P23080119,NBC200579.001,Active
,FDM Solicitors,FDM001\P23080123,NBC200675.001,Complete
,FDM Solicitors,FDM001\P23080129,NBC200737.001,Complete
,FDM Solicitors,FDM001\P23080128,NBC200757.001,Complete
,FDM Solicitors,FDM001\P23080103,NBC200935.001,Complete
,FDM Solicitors,FDM001\P23070068,NBC201318.001,Complete
,FDM Solicitors,FDM001\P23080071,NBC201407.001,Complete
,FDM Solicitors,FDM001\P23080042,NBC201462.001,Complete
,FDM Solicitors,FDM001\P23080132,NBC142518.001,Complete
,FDM Solicitors,FDM001\P23080131,NBC200000.001,Complete
,FDM Solicitors,FDM001\P23090008,NBC140103.001,Complete
,FDM Solicitors,FDM001\P23090020,NBC140145.001,Complete
,FDM Solicitors,FDM001\P23090001,NBC140303.001,Complete
,FDM Solicitors,FDM001\P23090021,NBC140770.001,Complete
,FDM Solicitors,FDM001\P23080076,NBC140807.001,Complete
,FDM Solicitors,FDM001\P23090005,NBC141031.001,Complete
,FDM Solicitors,FDM001\P23090010,NBC141116.001,Complete
,FDM Solicitors,FDM001\P23090009,NBC141121.001,Complete
,FDM Solicitors,FDM001\P23090022,NBC141622.001,Complete
,FDM Solicitors,FDM001\P23080080,NBC141668.001,Complete
,FDM Solicitors,FDM001\P23090007,NBC141696.001,Complete
,FDM Solicitors,FDM001\P23080126,NBC141704.001,Complete
,FDM Solicitors,FDM001\P23090014,NBC141813.001,Complete
,FDM Solicitors,FDM001\P23080086,NBC141825.001,Complete
,FDM Solicitors,FDM001\P23080092,NBC141841.001,Complete
,FDM Solicitors,FDM001\P23080093,NBC142015.001,Complete
,FDM Solicitors,FDM001\P23090023,NBC142059.001,Complete
,FDM Solicitors,FDM001\P23090027,NBC142463.001,Complete
,FDM Solicitors,FDM001\P23080096,NBC142491.001,Complete
,FDM Solicitors,FDM001\P23090025,NBC142494.001,Complete
,FDM Solicitors,FDM001\P23090004,NBC142529.001,Complete
,FDM Solicitors,FDM001\P23080100,NBC142579.001,Complete
,FDM Solicitors,FDM001\P23080130,NBC142588.001,Complete
,FDM Solicitors,FDM001\P23080134,NBC142669.001,Complete
,FDM Solicitors,FDM001\P23090006,NBC142761.001,Complete
,FDM Solicitors,FDM001\P23080104,NBC142818.001,Complete
,FDM Solicitors,FDM001\P23080119,NBC200579.001,Complete
,FDM Solicitors,FDM001\P23090016,NBC200660.001,Complete
,FDM Solicitors,FDM001\P23080133,NBC200669.001,Complete
,FDM Solicitors,FDM001\P23090024,NBC200701.001,Complete
,FDM Solicitors,FDM001\P23090012,NBC200730.001,Complete
,FDM Solicitors,FDM001\P23090017,NBC200751.001,Complete
,FDM Solicitors,FDM001\P23090019,NBC200769.001,Complete
,FDM Solicitors,FDM001\P23090026,NBC200775.001,Complete
,FDM Solicitors,FDM001\P23090028,NBC200795.001,Complete
,FDM Solicitors,FDM001\P23090030,NBC200800.001,Complete
,FDM Solicitors,FDM001\P23090029,NBC200804.001,Complete
,FDM Solicitors,FDM001\P23080102,NBC200807.001,Complete
,FDM Solicitors,FDM001\P23090018,NBC200818.001,Complete
,FDM Solicitors,FDM001\P23090031,NBC200842.001,Complete
,FDM Solicitors,FDM001\P23090015,NBC200845.001,Complete
,FDM Solicitors,FDM001\P23080114,NBC200859.001,Complete
,FDM Solicitors,FDM001\P23080135,NBC200931.001,Complete
,FDM Solicitors,FDM001\P23090002,NBC201264.001,Complete
,FDM Solicitors,FDM001\P23070001,NBC140090.001,Complete
,FDM Solicitors,FDM001\P23090060,NBC140529.001,Complete
,FDM Solicitors,FDM001\P23090042,NBC140744.001,Complete
,FDM Solicitors,FDM001\P23090051,NBC141033.001,Complete
,FDM Solicitors,FDM001\P23090048,NBC141094.001,Complete
,FDM Solicitors,FDM001\P23090049,NBC141620.001,Complete
,FDM Solicitors,FDM001\P23100013,NBC141676.001,Complete
,FDM Solicitors,FDM001\P23080099,NBC141758.001,Complete
,FDM Solicitors,FDM001\P23090039,NBC141909.001,Complete
,FDM Solicitors,FDM001\P23100009,NBC142073.001,Complete
,FDM Solicitors,FDM001\P23090036,NBC142111.001,Complete
,FDM Solicitors,Fdm001\p23090032,NBC142135.001,Complete
,FDM Solicitors,FDM001\P23090052,NBC142142.001,Complete
,FDM Solicitors,FDM001\P23090050,NBC142234.001,Complete
,FDM Solicitors,FDM001\P23100007,NBC142309.001,Complete
,FDM Solicitors,FDM001\P23100011,NBC142320.001,Complete
,FDM Solicitors,FDM001\P23090045,NBC142465.001,Complete
,FDM Solicitors,FDM001\P23090055,NBC142472.001,Complete
,FDM Solicitors,Fdm001\p23100008,NBC142534.001,Complete
,FDM Solicitors,FDM001\P23090053,NBC142574.001,Complete
,FDM Solicitors,FDM001\P23090043,NBC142611.001,Complete
,FDM Solicitors,Fdm001\p23100012,NBC142631.001,Complete
,FDM Solicitors,FDM001\P23090044,NBC142646.001,Complete
,FDM Solicitors,FDM001\P23090040,NBC142647.001,Complete
,FDM Solicitors,FDM001\P23100010,NBC142681.001,Complete
,FDM Solicitors,FDM001\P23090041,NBC142699.001,Complete
,FDM Solicitors,FDM001\P23090046,NBC142702.001,Complete
,FDM Solicitors,FDM001\P23090037,NBC142735.001,Complete
,FDM Solicitors,FDM001\P23090059,NBC142781.001,Complete
,FDM Solicitors,FDM001\P23100004,NBC142842.001,Complete
,FDM Solicitors,FDM001\P23090056,NBC142874.001,Complete
,FDM Solicitors,FDM001\P23100005,NBC143214.001,Complete
,FDM Solicitors,FDM001\P23090063,NBC143295.001,Complete
,FDM Solicitors,FDM001\P23100006,NBC200511.001,Complete
,FDM Solicitors,FDM001\P23100001,NBC200673.001,Complete
,FDM Solicitors,FDM001\P23090061,NBC200715.001,Complete
